,ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
996,13008017,TotalEnergies Access,4326300.0,539300.0,13008,265 AVENUE DE MAZARGUES,MARSEILLE,R
997,13008018,Avia,4327410.3099894,538706.77184902,13008,96 rue Jean Mermoz,Marseille,R
999,13009001,Esso,4324600.0,541700.0,13009,Avenue de Lattre de Tassigny,MARSEILLE,R
1000,13009006,E.Leclerc,4323300.0,540100.0,13009,CHEMIN DU ROY D'ESPAGNE,MARSEILLE,R
1001,13009008,TotalEnergies Access,4327200.0,540100.0,13009,32 BOULEVARD SCHLOESING,MARSEILLE,R
1002,13009009,Avia,4325400.0,542100.0,13009,81 BOULEVARD DU REDON,Marseille,R
1004,13010001,Auchan,4327972.0,542438.0,13010,57 Boulevard Romain Rolland,Marseille,R
1005,13010005,Esso,4328700.0,540000.0,13010,BOULEVARD JEAN MOULIN,Marseille,R
1006,13010011,TotalEnergies Access,4326800.0,541500.0,13010,171 BD PAUL CLAUDEL,MARSEILLE,R
1007,13011003,Avia,4330300.0,547500.0,13011,ROUTE DES TROIS LUCS- LA VALENTINE,MARSEILLE,R
1008,13011016,TotalEnergies,4329300.0,545600.0,13011,AUTOROUTE A50 - AIRE DE LA POMME,Marseille,A
1009,13011017,TotalEnergies Access,4328602.0,542682.0,13011,359 BD MIREILLE LAUZE,MARSEILLE,R
1010,13011018,Intermarché,4329200.0,545900.0,13011,15 BOULEVARD DE LA CARTONNERIE,MARSEILLE,R
1012,13011020,Carrefour,4328900.0,546000.0,13011,73 Boulevard de Saint-Marcel,Marseille,R
1013,13011022,Intermarché,4330600.0,550200.0,13011,72 ROUTE D'ALLAUCH,Marseille,R
1015,13011024,Carrefour,4329800.0,549600.0,13011,73 route des Camoins,Marseille,R
1016,13011025,ENI,4328491.6,543780.2,13011,171-173 Boulevard de Saint-Loup,Marseille,R
1020,13012016,Intermarché,4329600.0,542600.0,13012,Rue Gaston de Flotte,MARSEILLE,R
1021,13012022,TotalEnergies Access,4330380.0,543663.0,13012,67 AVENUE DES CAILLOLS,Marseille,R
1022,13012024,Auchan,4329600.0,543200.0,13012,120 rue saint jean du desert,Marseille,R
1023,13012025,BP,4330400.0,541200.0,13012,53 AV DE ST BARNABE,MARSEILLE,R
1024,13012028,Carrefour,4331700.0,544000.0,13012,7 CHEMIN DES AMARYLLIS,MARSEILLE,R
1026,13013002,BP,4335200.0,543700.0,13013,37 Avenue de Château-Gombert,Marseille,R
1027,13013003,BP,4331600.0,540900.0,13013,12 Avenue Jean-Paul Sartre,Marseille,R
1028,13013007,Esso,4333300.0,546000.0,13013,Avenue Marcel Delprat,MARSEILLE,R
1029,13013008,Casino,4334023.61168,542064.429815,13013,1 Avenue de Château-Gombert - angle notre dame de la consolation,MARSEILLE,R
1032,13013014,ENI,4331700.0,540400.0,13013,59 Avenue de Saint-Just,Marseille,R
1033,13013016,TotalEnergies Access,4332400.0,545400.0,13013,AVENUE FREDERIC MISTRAL,MARSEILLE,R
1034,13013017,TotalEnergies Access,4334300.0,542200.0,13013,75 CHE. DE CHATEAU GOMBERT,MARSEILLE,R
1037,13014001,Carrefour,4332900.0,540100.0,13014,AVENUE PROSPER MERIMEE,MARSEILLE,R
1038,13014010,Avia,4333500.0,540000.0,13014,33 Avenue Alexandre Ansaldi,Marseille,R
1039,13014015,ENI,4331865.8,539047.3,13014,26 CHEMIN DE STE MARTHE,MARSEILLE,R
1040,13015004,Esso,4338500.0,535900.0,13015,437 Avenue de Saint-Antoine,Marseille,R
1041,13015013,ENI,4334463.0,535450.0,13015,516 Chemin de la Madrague-Ville,MARSEILLE,R
